Year,Month,Day,1hour,12hour,24hour,truth
2024,144,21,139843.921875,140585.25,142315.3125,143050.5
2024,144,22,139013.0,141477.0,143669.625,140302.7
2024,144,23,140017.703125,142954.03125,146112.9375,139638.0
2024,145,0,141108.578125,145627.515625,149521.859375,139481.69999999998
2024,145,1,142245.890625,149516.296875,152786.59375,139839.2
2024,145,2,144590.4375,153660.03125,155919.84375,141248.0
2024,145,3,148039.484375,157547.71875,159124.890625,143748.6
2024,145,4,153214.015625,160287.625,160793.765625,148550.0
2024,145,5,155825.125,161302.859375,161920.515625,152808.7
2024,145,6,155961.921875,160659.84375,162151.5625,154709.69999999998
2024,145,7,155592.03125,159291.40625,161154.65625,156074.40000000002
2024,145,8,150746.59375,156778.46875,158760.09375,153461.1
2024,145,9,145048.21875,153519.84375,155759.5625,148572.9
2024,145,10,139527.09375,150134.53125,151932.09375,142995.3
2024,145,11,136670.484375,145894.296875,147926.484375,139332.0
2024,145,12,137774.40625,141648.21875,144406.34375,139153.40000000002
2024,145,13,137896.15625,139008.96875,142477.09375,139197.2
2024,145,14,136490.625,137120.984375,141560.265625,138099.8
2024,145,15,133496.1875,135715.046875,141139.671875,135630.90000000002
2024,145,16,130299.4140625,134767.59375,140537.8125,132785.2
2024,145,17,128495.5703125,133317.75,139567.640625,130712.5
2024,145,18,128263.515625,132118.65625,138550.046875,129514.7
2024,145,19,127262.6953125,130525.5,138103.53125,128277.2
2024,145,20,125761.9609375,128135.9453125,136752.84375,126927.09999999999
2024,145,21,124157.046875,126171.8125,135311.796875,125006.9
2024,145,22,124033.921875,125065.640625,134947.828125,124034.9
2024,145,23,125181.375,124932.5625,135358.484375,124015.90000000001
2024,146,0,127782.9609375,125687.5625,136697.296875,125225.29999999999
2024,146,1,131281.203125,127244.375,138740.46875,127698.1
2024,146,2,135617.84375,129245.515625,141378.34375,131465.2
2024,146,3,140579.640625,131934.5,144565.0625,136255.8
2024,146,4,144573.03125,134059.75,147532.984375,141545.09999999998
2024,146,5,146419.1875,135263.234375,148517.8125,145012.6
2024,146,6,144892.828125,135579.09375,148278.609375,145511.59999999998
2024,146,7,143184.640625,134942.625,145995.03125,145597.8
2024,146,8,140518.53125,133029.515625,142146.234375,144119.3
2024,146,9,137732.84375,130254.578125,137914.25,141925.90000000002
2024,146,10,135277.53125,127575.453125,134516.84375,139682.0
2024,146,11,133521.5625,125664.7109375,132260.9375,137740.3
2024,146,12,131786.96875,123822.9375,130666.515625,135597.9
2024,146,13,130370.265625,122107.9765625,128817.671875,134036.7
2024,146,14,129183.734375,120434.390625,126636.203125,132757.5
2024,146,15,128267.109375,119024.4453125,124605.59375,131624.8
2024,146,16,127563.453125,117989.421875,122654.59375,130771.5
2024,146,17,127339.8984375,116883.234375,121067.0546875,130068.2
2024,146,18,127914.53125,116410.984375,120053.53125,130232.29999999999
2024,146,19,128259.9453125,116152.9765625,119136.265625,130916.1
2024,146,20,127486.375,116002.921875,118537.34375,130695.70000000001
2024,146,21,125973.265625,116118.7421875,118263.9609375,128924.9
2024,146,22,125038.0546875,116578.1953125,118570.234375,126947.29999999999
2024,146,23,125904.84375,117933.296875,120146.25,126192.1
2024,147,0,129124.4609375,120578.515625,122546.609375,127828.2
2024,147,1,133194.375,124114.25,125458.1796875,130855.80000000002
2024,147,2,136309.15625,127666.1875,128915.6640625,133889.8
2024,147,3,137895.578125,130846.0078125,131828.1875,135866.90000000002
2024,147,4,139882.734375,133249.234375,133451.828125,138312.5
2024,147,5,139676.875,134422.515625,133468.6875,139318.2
2024,147,6,138885.015625,134265.734375,132587.859375,139320.3
2024,147,7,138523.90625,132972.109375,130861.421875,139377.4
2024,147,8,136911.8125,130442.4375,128400.25,139177.7
2024,147,9,133742.34375,127555.1953125,125807.625,137311.7
2024,147,10,131351.15625,124648.4609375,124015.6640625,135147.0
2024,147,11,130076.0859375,122103.671875,122472.046875,133277.3
2024,147,12,129053.765625,119930.109375,120869.8515625,131833.7
2024,147,13,129434.25,118643.53125,119253.921875,131599.5
2024,147,14,131254.46875,118013.25,117543.46875,132961.5
2024,147,15,130015.640625,118051.4921875,116411.109375,132594.7
2024,147,16,128654.90625,118206.03125,115926.703125,131177.1
2024,147,17,127607.2734375,118678.328125,116215.21875,129595.5
2024,147,18,124973.640625,119248.515625,116870.53125,126897.5
2024,147,19,122522.203125,119549.09375,117193.0,123914.4
2024,147,20,122262.5,119309.2578125,117076.265625,122708.79999999999
2024,147,21,122328.0,119178.609375,117033.6171875,122252.20000000001
2024,147,22,124007.0703125,119667.34375,117620.171875,123151.40000000001
2024,147,23,124616.5546875,121221.671875,119501.703125,123599.0
2024,148,0,124420.921875,123863.2734375,122251.8515625,122944.3
2024,148,1,125481.859375,126896.296875,124876.578125,123265.0
2024,148,2,127713.703125,129347.484375,127185.828125,124865.20000000001
2024,148,3,129729.1484375,130867.5390625,129340.6953125,126796.3
2024,148,4,131974.859375,130948.265625,130762.5390625,129221.0
2024,148,5,133982.65625,130049.7578125,131596.96875,131774.1
2024,148,6,134207.4375,129448.84375,131174.75,133081.1
2024,148,7,135038.703125,129058.953125,129580.21875,134689.0
2024,148,8,132869.359375,127687.6015625,127005.671875,134135.7
2024,148,9,130421.15625,125654.7421875,124843.1015625,132325.6
2024,148,10,128185.984375,123185.40625,123068.1328125,130385.0
2024,148,11,128578.171875,121136.0,121689.578125,130512.5
2024,148,12,127404.828125,120028.5390625,120537.609375,129939.1
2024,148,13,125682.265625,119656.25,119999.4375,128357.40000000001
2024,148,14,123852.015625,118980.1015625,119302.796875,126517.4
2024,148,15,122485.375,118665.8125,118381.078125,124685.7
2024,148,16,122442.3203125,118731.0703125,117772.9765625,124147.80000000002
2024,148,17,122967.1953125,118160.828125,116879.75,124513.4
2024,148,18,123965.4140625,117997.8984375,116118.328125,125391.7
2024,148,19,123763.1484375,118058.140625,116160.140625,125630.79999999999
2024,148,20,122898.59375,118497.9375,116357.34375,125010.0
